variable,region,year,mean,sd,n,min,max
even_split_disbursement,All,2013,4914217.6508672675,9067647.51853061,268,996.224741228,84759997.6598
even_split_disbursement,All,2014,1443921.8197185597,4192766.164589723,455,4018.35030871,36469033.6225
even_split_disbursement,All,2015,12662719.091044124,22004524.738278523,120,1444.33168698,53205708.954
even_split_disbursement,All,2016,433777.03717937774,342969.4928921432,27,24089.4214174,791937.548003
even_split_disbursement,All,2017,1951085.5307854048,1101231.8804784485,113,32985.6699752,4565914.26957
even_split_disbursement,Abim District,2013,191758.440918,2528.6251909230837,8,189393.128637,194123.753199
even_split_disbursement,Abim District,2014,68481.52070078428,91506.39429336443,7,4018.35030871,201015.376093
even_split_disbursement,Adjumani District,2014,1594825.0676196683,1226018.9194481433,6,4018.35030871,2386210.07596
even_split_disbursement,Agago District,2014,4695.062913,NA,1,4695.062913,4695.062913
even_split_disbursement,Agago District,2015,162099.145294,0,3,162099.145294,162099.145294
even_split_disbursement,Agago District,2017,1812909.2707294333,1524065.0549373254,3,53070.5312683,2692828.64046
even_split_disbursement,Alebtong District,2013,10965364.901561083,26540931.33503112,6,30957.9771812,65141325.9573
even_split_disbursement,Alebtong District,2014,5575.387209189999,1244.9665589584476,2,4695.062913,6455.71150538
even_split_disbursement,Amolatar District,2014,998213.193232239,1196893.9534999114,10,4018.35030871,2386210.07596
even_split_disbursement,Amolatar District,2017,137283.176422,0,3,137283.176422,137283.176422
even_split_disbursement,Amudat District,2013,194123.753199,0,4,194123.753199,194123.753199
even_split_disbursement,Amudat District,2014,54208.51344012,74936.56556860128,4,4695.062913,163604.262919
even_split_disbursement,Amuria District,2014,1151239.190983401,1095023.3432035244,10,4018.35030871,2386210.07596
even_split_disbursement,Amuria District,2015,113021.25168,0,3,113021.25168,113021.25168
even_split_disbursement,Amuria District,2017,2313689.07879,0,7,2313689.07879,2313689.07879
even_split_disbursement,Amuru District,2013,86336.6110757,0,2,86336.6110757,86336.6110757
even_split_disbursement,Amuru District,2014,1235006.2467290012,1131218.6826402098,9,4018.35030871,2386210.07596
even_split_disbursement,Amuru District,2015,274637.469588,0,3,274637.469588,274637.469588
even_split_disbursement,Amuru District,2017,2397942.314716667,167184.83206080933,9,2313689.07879,2692828.64046
